name,tags,alcohol,id,brewery_id,brewery_Name,image,Total Quantity,Remaining Quantity,Price
"Brussels Fruit Beer ""Red Fruit""",fruit beer,3.2,297,70,Brasserie Du Bocq,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Gruut Wit,white,5,689,26,Stadsbrouwerij Gruut,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Gauloise Christmas,christmas,8.1,617,70,Brasserie Du Bocq,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Blanche de Charleroi,white,5,206,306,Brasserie Val de Sambre,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Ridder,low alcohol,2.3,1277,257,Brouwerij Het Sas,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Saison Cazeau,saison,5,1313,309,Brasserie de Cazeau,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bierpruver Winter,winter,8,180,40,Huisbrouwerij de 3 vaten,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Noblesse Extra,"high fermentation, IPA",7,1109,201,Brouwerij De Dochter van de Korenaar,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Noël de Silenrieux,"triple, christmas",9,1110,44,Brasserie de Silenrieux,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bioloo Amber,organic,7.8,186,307,Brouwerij Belgoobeer by Brasserie La Binchoise,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Courage,"high fermentation, winter",8,396,201,Brouwerij De Dochter van de Korenaar,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Special Extra Export Stout,stout,9,1393,300,De Dolle Brouwers,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Florival Blond,abbey,7,588,19,Affligem Brewery (Heineken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Grimbergen Tripel,triple,9,676,358,Alken-Maes (Heineken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Slim³,top fermentation,8,1378,101,Brouwerij De Graal for SLIM,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Ter Dolen Blond,blonde,6.1,1509,312,Kasteelbrouwerij De Dool,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Corsendonk Bruin,high fermentation,6.5,390,252,Brouwerij du Bocq for Corsendonk nv,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Keyte-Dobbel-Tripel,"ruby, high fermentation",9.2,836,2,Brouwerij Strubbe,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Crack Pils,"low fermentation, pils",5,399,257,Brouwerij Het Sas,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Ciney Blond,"high fermentation, blonde",7,376,358,Alken-Maes (Heineken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Pater Verbiest Blond,"organic, blonde",6.5,1186,133,De Proefbrouwerij,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Tongerlo Blond,"high fermentation, abbey",6,1532,47,Brouwerij Haacht,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Queueu de Charrue Triple,triple,9,1257,149,Brouwerij Van Steenberge commissioned by Brouwerij Vanuxeem,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Lindemans Framboise,lambic,2.5,979,233,Brouwerij Lindemans,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
La Mac Vertus,stout,4.8,900,340,Brasserie Millevertus,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Timmermans Kriek Retro,fruit beer,5,1520,350,Brouwerij Timmermans,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
t Smisje Sleedoornbier,fruit beer,6,1500,190,Brouwerij De Regenboog,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Super des Fagnes Brune,"high fermentation, brown",7.5,1469,234,Brasserie des Fagnes,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
BRWN,"high fermentation, organic",7,300,148,De Proefbrouwerij for Brouwerij Jessenhofke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Belle-Vue Kriek Classique,Kriek,5.1,147,14,Brouwerij Belle-Vue (AB InBev),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Hanssens Lambic Experimental Raspberry,"lambic, fruit beer",4,698,248,Brouwerij Hanssens,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Steenbrugge Blond,"abbey, blonde",6.5,1440,302,Brouwerij Palm,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Pannepot,high fermentation,10,1174,154,De Struise Brouwers by Brouwerij Deca,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
t Smisje Honingbier Bruin,honey,6,1497,190,Brouwerij De Regenboog,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bloemenbier,belgian strong ale,7,218,133,De Proefbrouwerij,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
